name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
sumenep,1/1/2023,29.9,24.2,26.5,34.8,24.2,27.8,24.2,87.4,78,100,12.5,rain,0,0,60.8,38.2,292.4,1010.1,96.1,15.7,174.6,15,6,30,2023-01-01T05:12:18,2023-01-01T17:43:33,0.3,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"96937099999,96973099999,remote"
sumenep,1/2/2023,31,26,27.3,38.1,26,30,24.4,84.4,4,100,12.5,rain,0,0,62.6,40.5,291.4,1009,91,18.6,211.2,18.3,8,60,2023-01-02T05:12:49,2023-01-02T17:43:58,0.34,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"96937099999,96973099999,remote"
sumenep,1/3/2023,32.7,26.2,27.9,40.3,26.2,31,24.2,80.7,1.2,100,37.5,rain,0,0,56.9,36,291.9,1008.7,93.8,19.1,275.4,23.9,9,30,2023-01-03T05:13:20,2023-01-03T17:44:23,0.37,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"96937099999,96973099999,remote"
sumenep,1/4/2023,32.9,26.5,28.3,39.9,26.5,31.9,24.2,79,2,100,41.67,rain,0,0,57.6,46.4,288.7,1008.4,70.7,17.1,263.6,22.8,9,60,2023-01-04T05:13:51,2023-01-04T17:44:46,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96937099999,96973099999,remote"
sumenep,1/5/2023,32.7,26.3,28.4,39.9,26.3,32.2,24.2,78.3,11.2,100,8.33,rain,0,0,41.4,27.7,275.4,1009.2,79.5,18.6,281,24.4,10,30,2023-01-05T05:14:22,2023-01-05T17:45:10,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96937099999,96973099999,remote"
sumenep,1/6/2023,31.5,25.4,28,38,25.4,31.6,24.3,80.8,1.9,100,25,rain,0,0,38.5,19.1,262.6,1009.5,86,17.3,247.7,21.5,9,30,2023-01-06T05:14:53,2023-01-06T17:45:32,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96937099999,96973099999,remote"
sumenep,1/7/2023,32.1,25.6,28.2,39,25.6,31.9,24.1,78.9,0.6,100,12.5,rain,0,0,24.5,14.8,267.4,1008.7,77.4,18,283,24.4,9,30,2023-01-07T05:15:23,2023-01-07T17:45:54,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96937099999,96973099999,remote"
sumenep,1/8/2023,31.6,25.4,27.5,37.3,25.4,29.8,24.3,83.6,2.2,100,50,rain,0,0,21.6,9.4,259.5,1009.9,71.4,17.6,267.5,23.1,9,30,2023-01-08T05:15:54,2023-01-08T17:46:15,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96937099999,96973099999,remote"
sumenep,1/9/2023,32.4,24.9,27.4,40.6,24.9,29.9,24.2,83.4,1,100,4.17,rain,0,0,21.2,20.8,261.8,1011.4,80.4,17.9,272.9,23.7,9,30,2023-01-09T05:16:24,2023-01-09T17:46:35,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96937099999,96973099999,remote"
sumenep,1/10/2023,31.9,25.6,27.8,39.5,25.6,30.7,24.2,81.3,1.4,100,41.67,rain,0,0,19.1,9.4,259.6,1010.9,65.4,19.4,286.3,24.7,9,30,2023-01-10T05:16:54,2023-01-10T17:46:55,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96937099999,96973099999,remote"
sumenep,1/11/2023,32.5,25.8,28.2,38.7,25.8,31.4,24.2,79.3,0.4,100,16.67,rain,0,0,15.8,12.2,91.3,1010.1,63.3,18.8,277.4,24,10,30,2023-01-11T05:17:23,2023-01-11T17:47:14,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96937099999,96973099999,remote"
sumenep,1/12/2023,31.5,25.9,27.7,38.4,25.9,30.3,24.1,81.2,1.5,100,41.67,rain,0,0,21.2,13,333.2,1009.9,67.1,16.8,271.3,23.4,9,30,2023-01-12T05:17:52,2023-01-12T17:47:31,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96937099999,96973099999,remote"
sumenep,1/13/2023,31.1,24.6,27.4,37.6,24.6,29.7,23.9,81.5,5.1,100,8.33,rain,0,0,19.8,27.9,306.8,1009.6,59.3,18.7,293.6,25.4,10,30,2023-01-13T05:18:21,2023-01-13T17:47:49,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96937099999,96973099999,remote"
sumenep,1/14/2023,32.1,24.9,28,39,24.9,31.2,24.1,79.5,18,100,8.33,rain,0,0,35.3,25.9,287.9,1008.2,64.9,18.4,296,25.7,9,30,2023-01-14T05:18:50,2023-01-14T17:48:05,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96937099999,96973099999,remote"
